Time,Header.seq,Header.stamp.secs,Header.stamp.nsecs,Header.frame_id,Latitude,Longitude,Altitude,HDOP,UTM_easting,UTM_northing,UTC,Zone,Letter
1675714418.3205502,0,72818,0,GPS1_Frame,42.202569999999994,-71.051582,10.6,0.9,330629.20497003477,4674305.169386179,0.0,19,T
1675714419.3183005,0,72819,0,GPS1_Frame,42.202574000000006,-71.051576,10.5,0.9,330629.71101628104,4674305.6016254295,0.0,19,T
1675714420.3386934,0,72820,0,GPS1_Frame,42.202578,-71.05157,10.5,0.9,330630.21706246317,4674306.033864712,0.0,19,T
1675714421.321146,0,72821,0,GPS1_Frame,42.202581,-71.051564,10.5,0.9,330630.7204365718,4674306.355064181,0.0,19,T
1675714422.320856,0,72822,0,GPS1_Frame,42.202586000000004,-71.051558,10.5,0.9,330631.2291546417,4674306.898343382,0.0,19,T
1675714423.3381383,0,72823,0,GPS1_Frame,42.202588999999996,-71.051552,10.4,0.9,330631.73252864165,4674307.2195429215,0.0,19,T
1675714424.3380966,0,72824,0,GPS1_Frame,42.202593,-71.051547,10.7,0.9,330632.156014924,4674307.653769004,0.0,19,T
1675714425.319989,0,72825,0,GPS1_Frame,42.202597,-71.051542,10.8,0.9,330632.5795011549,4674308.087995112,0.0,19,T
1675714426.3188336,0,72826,0,GPS1_Frame,42.202600000000004,-71.051536,11.1,0.9,330633.0828750096,4674308.409194742,0.0,19,T
1675714427.3363168,0,72827,0,GPS1_Frame,42.202604,-71.05153,11.3,0.9,330633.58892078185,4674308.841434258,0.0,19,T
1675714428.3180735,0,72828,0,GPS1_Frame,42.202608,-71.051524,11.5,0.9,330634.09496649634,4674309.273673808,0.0,19,T
1675714429.318633,0,72829,0,GPS1_Frame,42.202612,-71.051519,11.7,0.9,330634.5184525121,4674309.707900028,0.0,19,T
1675714430.319185,0,72830,0,GPS1_Frame,42.202614000000004,-71.051509,12.0,0.9,330635.3493927387,4674309.910113434,0.0,19,T
1675714431.3172617,0,72831,0,GPS1_Frame,42.202618,-71.0515,12.9,0.9,330636.1031171455,4674310.336393255,0.0,19,T
1675714432.317267,0,72832,0,GPS1_Frame,42.202622,-71.051492,13.5,0.9,330636.7742818372,4674310.7646597605,0.0,19,T
1675714433.3177488,0,72833,0,GPS1_Frame,42.20262399999999,-71.051484,13.9,0.9,330637.44010262686,4674310.970846626,0.0,19,T
1675714434.3201854,0,72834,0,GPS1_Frame,42.202627,-71.051476,14.3,0.9,330638.1085952718,4674311.288073406,0.0,19,T
1675714435.3186014,0,72835,0,GPS1_Frame,42.202628999999995,-71.051468,14.5,0.9,330638.7744159675,4674311.494260395,0.0,19,T
1675714436.3188496,0,72836,0,GPS1_Frame,42.202631000000004,-71.051461,14.8,0.9,330639.35767700954,4674311.702434026,0.0,19,T
1675714437.3202324,0,72837,0,GPS1_Frame,42.202633999999996,-71.051454,15.1,0.9,330639.94360988797,4674312.021647551,0.0,19,T
1675714438.3192163,0,72838,0,GPS1_Frame,42.202638,-71.05145,15.4,0.9,330640.28453577426,4674312.4578606775,0.0,19,T
1675714439.3169696,0,72839,0,GPS1_Frame,42.202642,-71.05144299999999,16.2,0.9,330640.8731404034,4674312.888114131,0.0,19,T
1675714440.3174982,0,72840,0,GPS1_Frame,42.202645000000004,-71.051435,16.8,0.9,330641.5416327035,4674313.205341226,0.0,19,T
1675714441.320038,0,72841,0,GPS1_Frame,42.202647999999996,-71.05142799999999,17.4,0.9,330642.12756535376,4674313.524554929,0.0,19,T
1675714442.3201835,0,72842,0,GPS1_Frame,42.202650999999996,-71.05142000000001,18.3,0.9,330642.7960575308,4674313.841782142,0.0,19,T
1675714443.317892,0,72843,0,GPS1_Frame,42.202654,-71.051412,19.1,0.9,330643.4645496475,4674314.159009417,0.0,19,T
1675714444.3157904,0,72844,0,GPS1_Frame,42.202657,-71.051404,20.0,0.9,330644.1330416997,4674314.476236752,0.0,19,T
1675714445.3173778,0,72845,0,GPS1_Frame,42.202661,-71.05139799999999,20.7,0.9,330644.63908634963,4674314.9084770335,0.0,19,T
1675714446.3185883,0,72846,0,GPS1_Frame,42.202664999999996,-71.051395,21.1,0.9,330644.89745224046,4674315.346676888,0.0,19,T
